Co1,Cu1,Fe1,Mn1,Ni1,Co2,Cu2,Fe2,Mn2,Ni2,Co3,Cu3,Fe3,Mn3,Ni3,E_ads
0,0,1,0,0,1,0,1,2,2,0,2,1,0,0,-1.523660888
1,0,0,0,0,1,0,1,3,1,0,1,1,0,1,-1.69431225
0,0,0,0,1,2,0,2,1,1,0,1,0,0,2,-1.328540494
0,0,1,0,0,2,1,1,0,2,1,1,1,0,0,-1.31466101
0,0,0,0,1,1,2,2,0,1,0,2,0,0,1,-1.35841198
0,1,0,0,0,1,1,1,0,3,1,1,0,0,1,-0.499013251
1,0,0,0,0,1,1,1,0,3,1,1,0,1,0,-1.603775702
1,0,0,0,0,1,2,2,0,1,1,1,1,0,0,-1.536879258
0,0,0,0,1,1,2,2,0,1,1,0,0,2,0,-1.322194623
0,0,0,0,1,2,1,1,0,2,1,0,0,1,1,-1.301293396
1,0,0,0,0,1,2,1,1,1,1,0,1,1,0,-1.609024842
0,1,0,0,0,1,2,1,1,1,0,0,0,0,3,-0.571235632
0,0,1,0,0,2,2,0,1,1,0,0,2,0,1,-1.431623931
0,0,0,0,1,1,2,1,2,0,0,0,2,0,1,-1.370451051
0,0,1,0,0,2,2,0,1,1,0,0,2,0,1,-1.428895469
1,0,0,0,0,1,2,1,2,0,1,0,1,0,1,-1.751624566
1,0,0,0,0,2,0,1,2,1,0,0,1,1,1,-1.610757411
0,0,0,0,1,5,0,0,1,0,0,0,0,0,3,-1.343946071
1,0,0,0,0,3,0,1,1,1,0,1,1,0,1,-1.62222667
1,0,0,0,0,2,0,1,2,1,0,1,0,0,2,-1.67760033
1,0,0,0,0,3,0,1,1,1,0,0,0,1,2,-1.591003709
1,0,0,0,0,2,0,1,2,1,0,1,0,1,1,-1.72354513
0,0,1,0,0,0,1,1,3,1,0,0,0,1,2,-1.75699354
1,0,0,0,0,0,1,1,3,1,2,1,0,0,0,-1.707354132
0,0,0,0,1,1,2,1,2,0,0,2,0,0,1,-1.33944756
0,0,0,1,0,1,2,1,2,0,2,0,0,0,1,-1.366439682
0,0,0,1,0,0,0,1,2,3,1,1,0,0,1,-1.400054049
0,0,0,0,1,0,0,1,2,3,2,0,1,0,0,-1.371456657
0,0,0,0,1,1,0,1,2,2,3,0,0,0,0,-1.328285972
